sim_time,t,joint_name,reference_target_rad,standing_reference_offset_rad,pitch_balance_correction_nm,roll_balance_correction_nm,contact_avoidance_correction_nm,contact_avoidance_scaling,limit_scaling,saturation_scaling,rate_scaling,allocation_weight,final_balance_addition_nm,equivalent_balance_target_offset_rad,final_joint_target_rad
0.001,-4.999,head_yaw_joint,0.0001437664031982,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001437664031982
0.001,-4.999,left_ankle_pitch_joint,-0.270456314086914,0.038480805262590234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7642334179054802,0.0,0.0,-0.23197550882432377
0.001,-4.999,left_ankle_roll_joint,0.0121755599975585,0.0,0.0,0.0,0.0,0.27321296453327915,1.0,1.0,1.0,0.42041105154648023,0.0,0.0,0.0121755599975585
0.001,-4.999,left_elbow_joint,-1.172232151031494,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.172232151031494
0.001,-4.999,left_hip_pitch_joint,-0.3268289566040039,0.03685788964070452,0.0,0.0,0.08916201708322959,0.27321296453327915,1.0,1.0,0.33646614311109696,0.029828353957336667,0.03,0.0002608695652173913,-0.289710197398082
0.001,-4.999,left_hip_roll_joint,-0.0213799476623535,0.025,0.0,0.0,0.0012460971817320385,0.27321296453327915,1.0,1.0,1.0,0.0,0.0012460971817320385,1.0835627667235117e-05,0.0036308879653137384
0.001,-4.999,left_hip_yaw_joint,9.584426879882812e-05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.584426879882812e-05
0.001,-4.999,left_knee_joint,0.5220255851745605,-0.10433494804811128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1637643038368886,0.0,0.0,0.41769063712644927
0.001,-4.999,left_shoulder_pitch_joint,0.3956656455993652,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3956656455993652
0.001,-4.999,left_shoulder_roll_joint,-0.0146684646606445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0146684646606445
0.001,-4.999,left_shoulder_yaw_joint,-0.009490966796875,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.009490966796875
0.001,-4.999,left_wrist_pitch_joint,0.0013351440429687,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0013351440429687
0.001,-4.999,left_wrist_roll_joint,-0.0043869018554687,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0043869018554687
0.001,-4.999,left_wrist_yaw_joint,0.0062317848205566,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0062317848205566
0.001,-4.999,right_ankle_pitch_joint,-0.3164749145507812,0.0659125741132981,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7642334179054802,0.0,0.0,-0.2505623404374831
0.001,-4.999,right_ankle_roll_joint,0.0058479309082031,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.5387668453605592,0.0,0.0,0.0058479309082031
0.001,-4.999,right_elbow_joint,-1.1722326278686523,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.1722326278686523
0.001,-4.999,right_hip_pitch_joint,-0.2298059463500976,0.012304937903883373,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.10917620255792575,0.0,0.0,-0.21750100844621423
