sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,ctrl_nm,ctrl_saturation_fraction,lower_margin_rad,upper_margin_rad,reference_target_rad,standing_reference_offset_rad,pitch_balance_correction_nm,roll_balance_correction_nm,contact_avoidance_correction_nm,contact_avoidance_scaling,limit_scaling,saturation_scaling,rate_scaling,allocation_weight,final_balance_addition_nm,equivalent_balance_target_offset_rad,final_joint_target_rad,raw_desired_allocation_weight,preallocation_constraint_scaling,redistributed_allocation_weight,response_model_gate,arm_motion_energy_rad_s,arm_asymmetry,sagittal_fraction
0.001,-4.999,head_yaw_joint,STANDING_TARGET,0.0001437664031982,0.0001437664031982,0.0001437704633296834,4.060131483384108e-06,-4.06013148337883e-09,-0.0002768473524295074,0.00010647975093442591,0.3492097704633297,0.3489222295366703,0.0001437664031982,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0001437664031982,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_pitch_joint,STANDING_TARGET,-0.270456314086914,-0.23197550882432377,-0.2703906636397178,0.06565044719621842,0.03841515481539404,2.11101792421602,0.058639386783778336,0.5324603363602822,0.7241766636397178,-0.270456314086914,0.038480805262590234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0976767553389435,0.0,0.0,-0.23197550882432377,1.0795454545454544,1.0,1.0976767553389435,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_roll_joint,STANDING_TARGET,0.0121755599975585,0.0121755599975585,0.012175362915944067,-0.00019708161443313243,1.9708161443261762e-07,-0.0037728594032313545,0.00015720247513463978,0.27397436291594407,0.24962363708405594,0.0121755599975585,0.0,0.0,0.0,0.0,0.27321296453327915,1.0,1.0,1.0,0.4849801408849919,0.0,0.0,0.0121755599975585,0.6999999999999997,0.27321296453327915,0.4849801408849919,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.172232151031494,-1.172232151031494,-1.1722490628873965,-0.016911855902684823,1.6911855902579376e-05,-1.656347481359729,0.06901447838998871,1.1839449371126034,1.1722490628873965,-1.172232151031494,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.172232151031494,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_pitch_joint,STANDING_TARGET,-0.3268289566040039,-0.2899710669632994,-0.3267910776236242,0.03787898037971155,0.03682001066032481,0.3687850588565681,0.003125297108953967,2.230116922376376,2.883699077623624,-0.3268289566040039,0.03685788964070452,0.0,0.0,0.08916201708322959,0.27321296453327915,1.0,1.0,0.33646614311109696,0.014994976021271188,0.03,0.0002608695652173913,-0.289710197398082,0.05397727272727273,0.27321296453327915,0.014994976021271188,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_roll_joint,STANDING_TARGET,-0.0213799476623535,0.003620052337646503,-0.02137217665646975,0.007771005883747343,0.024992228994116253,2.9842243929193026,0.025290037228129683,0.21424682334353023,2.9273451766564698,-0.0213799476623535,0.025,0.0,0.0,0.0012460971817320385,0.27321296453327915,1.0,1.0,1.0,0.0,0.0012460971817320385,1.0835627667235117e-05,0.0036308879653137384,0.0,0.27321296453327915,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_yaw_joint,STANDING_TARGET,9.584426879882812e-05,9.584426879882812e-05,9.739274728296761e-05,0.001548478484139483,-1.5484784841394826e-06,0.02608199304039749,0.00022103383932540246,1.684339392747283,3.429474607252717,9.584426879882812e-05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.584426879882812e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_knee_joint,STANDING_TARGET,0.5220255851745605,0.41769063712644927,0.5219129889831976,-0.11259619136293622,-0.10422235185674833,-11.3822602112396,0.09645983229864068,0.5219129889831976,1.8866410110168026,0.5220255851745605,-0.10433494804811128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.054883837766947184,0.0,0.0,0.41769063712644927,0.05397727272727273,1.0,0.054883837766947184,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3956656455993652,0.3956656455993652,0.3956727106605442,0.0070650611790480464,-7.065061179034604e-06,-0.16555171757020776,0.00459865882139466,3.4761787106605446,1.6376362893394558,0.3956656455993652,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3956656455993652,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0146684646606445,-0.0146684646606445,-0.014665018820300182,0.0034458403443186256,-3.445840344317927e-06,1.2414859688806352,0.03448572135779542,0.04642198117969982,3.0602650188203,-0.0146684646606445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0146684646606445,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
