sim_time,t,joint_name,input_mode,reference_position,target_position,position,velocity,tracking_error_rad,ctrl_nm,ctrl_saturation_fraction,lower_margin_rad,upper_margin_rad,reference_target_rad,standing_reference_offset_rad,pitch_balance_correction_nm,roll_balance_correction_nm,contact_avoidance_correction_nm,contact_avoidance_scaling,limit_scaling,saturation_scaling,rate_scaling,allocation_weight,final_balance_addition_nm,equivalent_balance_target_offset_rad,final_joint_target_rad,raw_desired_allocation_weight,preallocation_constraint_scaling,redistributed_allocation_weight,response_model_gate,arm_motion_energy_rad_s,arm_asymmetry,sagittal_fraction
0.001,-4.999,head_yaw_joint,STANDING_TARGET,4.792213439941406e-05,4.792213439941406e-05,4.793388443338903e-05,1.1750033974971273e-05,-1.17500339749679e-08,-0.0002941481930611933,0.00011313392040815127,0.3491139338844334,0.34901806611556657,4.792213439941406e-05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.792213439941406e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_pitch_joint,STANDING_TARGET,-0.2727570533752441,-0.23427624811265385,-0.2726914264858893,0.06562688935477812,0.03841517837323544,2.1133372237937498,0.05870381177204861,0.5301595735141107,0.7264774264858893,-0.2727570533752441,0.038480805262590234,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5115384615384615,0.0,0.0,-0.23427624811265385,0.5115384615384615,1.0,0.5115384615384615,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_ankle_roll_joint,STANDING_TARGET,-0.0298161506652832,-0.0298161506652832,-0.0298164910721135,-0.0003404068302998213,3.4040683030006624e-07,-0.007936393790030749,0.00033068307458461454,0.2319825089278865,0.2916154910721135,-0.0298161506652832,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.0,0.0,-0.0298161506652832,0.7,1.0,0.7,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1739583015441897,-1.1739583015441897,-1.1739752792955849,-0.01697775139510577,1.6977751395197416e-05,-1.665343796082165,0.06938932483675687,1.182218720704415,1.1739752792955849,-1.1739583015441897,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.1739583015441897,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_pitch_joint,STANDING_TARGET,-0.3007521629333496,-0.2638942732926451,-0.3007128882781722,0.039274655177367786,0.03681861498552713,0.8266241948160687,0.007005289786576854,2.2561951117218277,2.857620888278172,-0.3007521629333496,0.03685788964070452,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.07307692307692308,0.0,0.0,-0.2638942732926451,0.07307692307692308,1.0,0.07307692307692308,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_roll_joint,STANDING_TARGET,0.013709545135498,0.038709545135498,0.013718831619992104,0.009286484494102942,0.024990713515505896,3.759070399279331,0.031856528807451955,0.2493378316199921,2.8922541683800076,0.013709545135498,0.025,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.038709545135498,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_hip_yaw_joint,STANDING_TARGET,-0.0002875328063964,-0.0002875328063964,-0.0002850323914392159,0.0025004149571841204,-2.500414957184126e-06,-0.0819307768780102,0.0006943286176102559,1.6839569676085608,3.429857032391439,-0.0002875328063964,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0002875328063964,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_knee_joint,STANDING_TARGET,0.5036177635192871,0.39928281547117583,0.5035032766677907,-0.11448685149640762,-0.10422046119661488,-11.328918968426333,0.09600778786801976,0.5035032766677907,1.9050507233322094,0.5036177635192871,-0.10433494804811128,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.36538461538461536,0.0,0.0,0.39928281547117583,0.36538461538461536,1.0,0.36538461538461536,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3939399719238281,0.3939399719238281,0.39394739223124486,0.00742030741672312,-7.420307416738936e-06,-0.19374090588156123,0.0053816918300433675,3.4744533922312453,1.6393616077687552,0.3939399719238281,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3939399719238281,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
0.001,-4.999,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0125589370727539,-0.0125589370727539,-0.012555580888620433,0.0033561841334666135,-3.3561841334666526e-06,1.2535495620097912,0.034820821166938645,0.04853141911137957,3.0581555808886205,-0.0125589370727539,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0125589370727539,0.0,1.0,0.0,0.0,0.0,0.0,0.495850646319438
