sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,contact_count,left_foot_contact,right_foot_contact,nonfoot_ground_contact_count,self_collision_contact_count,max_contact_penetration_m
0.001,-13.769379783,0.0,0.0,0.6617707046682234,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5879697107186732,-0.14261418045189744,-0.008662149038157874,1,0,1,0,0,9.540979117872439e-18
0.02000000000000001,-13.750379783,-9.112919639207653e-05,-0.00011016285045529239,0.6602371262015722,-0.0021104760444502343,0.00030929704576883153,0.0005829460434770589,0.9999993887525314,-0.0010552828447888097,0.000154340856246243,0.00029163604280797994,-0.2332027265340349,-0.031774921311717344,0.08397075430847835,0.844109503737526,0.07293668503457756,4.130166361880198,2,0,1,0,0,0.0002759860751656252
0.04000000000000003,-13.730379783,0.0003894606154071095,-0.00021905421013102165,0.6570604601703462,-0.005086830607182729,-0.0032115731287541754,0.0026995474400727227,0.9999945708226655,-0.0025412395254159944,-0.001609212243585342,0.001345683031900307,-0.04407623587056892,-0.30991051117323304,0.0768149234473875,2.987708127657986,0.11990123427882356,11.699970712840809,7,1,1,0,0,0.0014902230367553155
0.060000000000000046,-13.710379782999999,0.0020712053181103397,-0.00010671635826731927,0.6543671478663232,-0.005104270979614326,-0.01009951683675157,0.0038478960027255637,0.9999821673798578,-0.0025423800625105487,-0.0050546212704727,0.0019110284434061984,0.01826952623391159,-0.34189017851941156,0.045265292583342484,2.187658307069753,-0.015885437908104472,10.718303470876034,7,1,1,0,0,0.0013063027818504226
0.08000000000000006,-13.690379783,0.004581442072040316,3.767909780431967e-05,0.6520993082315287,-0.004858561228101716,-0.01663226199832075,0.004663494021151861,0.9999597992702378,-0.0024097968040045184,-0.00832165226080196,0.0023114554804079318,0.005750918481479434,-0.3053105299713302,0.03615862175754421,1.4599672549941765,-0.06677496989471672,10.101965173368313,8,1,1,0,0,0.0009456501980586547
0.10000000000000007,-13.670379783,0.007590408531904595,0.0001722248085131312,0.650012577758569,-0.004893901951378973,-0.022254754350074814,0.005370095278481386,0.9999315663825972,-0.002416911430623923,-0.011133643883364602,0.0026576426883699674,-0.007810967120374768,-0.26179767577533714,0.030461517295059682,1.17144777825497,0.07653128018210158,10.071065105674672,9,1,1,0,0,0.000695394198848477
0.12000000000000009,-13.650379783,0.010932733521539357,0.00032546257077612753,0.648107813217234,-0.005229816691505397,-0.027029150055132893,0.0059162322408726304,0.9999009906889084,-0.0025746788612429823,-0.013521792784845192,0.0029224934532292284,-0.022260358850864963,-0.2159103365618709,0.021192807045626413,0.7387585297934137,-0.051578402651795474,10.830398674538324,14,1,1,0,0,0.0005288497956774897
0.1400000000000001,-13.630379782999999,0.014405535701393125,0.0004951915642214766,0.6465829821315471,-0.00590272165371612,-0.030599109781523855,0.006155997075103091,0.999874011861498,-0.0029039072575106945,-0.015307902111597634,0.0030324675717209237,-0.029816875584289793,-0.13868610060275566,0.0072700366985270415,0.07548501568576353,0.074098510846208,11.120639812798172,20,1,1,0,0,0.0003951133326477686
0.16000000000000011,-13.610379782999999,0.01771525672627403,0.0007308799836964333,0.6455633922314427,-0.006210917206954295,-0.03244291153381659,0.0063400246494184145,0.9998587496555343,-0.0030536098165002616,-0.016230427667853233,0.00311920215409122,-0.005381156255884553,-0.05360014678256596,0.00994266332787215,-0.34434330951540204,-0.03496691102816315,10.47745884418798,20,1,1,0,0,0.00037349118856381657
0.18000000000000013,-13.590379783,0.020702753771078268,0.0009899671259732436,0.6448508819569921,-0.006253437986710038,-0.03283661432439136,0.006549551503800608,0.9998551418790059,-0.003072512225222044,-0.016427639154796253,0.003222979760646753,-0.0002607193955687821,0.007234716358523365,0.010296750634137935,-0.37639421816695534,-0.08160016194097293,10.15795542450912,20,1,1,0,0,0.00033497792254950486
