sim_time,t,joint_name,input_mode,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin
0.001,-13.769379783,head_yaw_joint,STANDING_TARGET,4.792213439941406e-05,0.0030689239501953,4.792213439941406e-05,0,4.792202887634139e-05,-1.0552307267295904e-07,-0.0002953895289023085,-0.0002953895289023085,0.00011361135727011866,-0.349066,0.349066,0.34901807797112366
0.001,-13.769379783,left_ankle_pitch_joint,STANDING_TARGET,-0.2727570533752441,0.0061054229736328,-0.2727570533752441,0,-0.2727572441415463,-0.0001907663021962564,-0.4531068796791524,-0.4531068796791524,0.012586302213309789,-0.802851,0.453786,0.5300937558584538
0.001,-13.769379783,left_ankle_roll_joint,STANDING_TARGET,-0.0298161506652832,0.0061054229736328,-0.0298161506652832,0,-0.029816156806113985,-6.140830785938509e-06,-0.007936393790030749,-0.007936393790030749,0.00033068307458461454,-0.261799,0.261799,0.231982843193886
0.001,-13.769379783,left_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.1739583015441897,-0.0061054229736328,-1.1739583015441897,0,-1.1739588395862506,-0.0005380420609290236,-1.6654992477595214,-1.6654992477595214,0.06939580198998006,-2.356194,0.0,1.1739588395862506
0.001,-13.769379783,left_hip_pitch_joint,STANDING_TARGET,-0.3007521629333496,-0.0061054229736328,-0.3007521629333496,0,-0.30075258817296224,-0.00042523961266107427,-3.862032757929617,-3.862032757929617,0.03272909116889506,-2.556908,2.556908,2.256155411827038
0.001,-13.769379783,left_hip_roll_joint,STANDING_TARGET,0.013709545135498,-0.0061054229736328,0.013709545135498,0,0.013709562017480834,1.6881982833395313e-05,0.4341112573611614,0.4341112573611614,0.0036789089606878086,-0.235619,2.905973,0.24932856201748083
0.001,-13.769379783,left_hip_yaw_joint,STANDING_TARGET,-0.0002875328063964,0.0061054229736328,-0.0002875328063964,0,-0.00028755425591603454,-2.1449519634517775e-05,-0.0819307768780102,-0.0819307768780102,0.0006943286176102559,-1.684242,3.429572,1.683954445744084
0.001,-13.769379783,left_knee_joint,STANDING_TARGET,0.5036177635192871,-0.0061054229736328,0.5036177635192871,0,0.5036181153569601,0.0003518376729801369,1.1196000571064635,1.1196000571064635,0.00948813607717342,0.0,2.408554,0.5036181153569601
0.001,-13.769379783,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3939399719238281,-0.0061054229736328,0.3939399719238281,0,0.3939400748610788,0.00010293725065370556,-0.1942211815469188,-0.1942211815469188,0.005395032820747745,-3.080506,2.033309,1.6393689251389212
0.001,-13.769379783,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0125589370727539,-0.0061054229736328,-0.0125589370727539,0,-0.012558849933092586,8.71396613135128e-05,1.2530707140368627,1.2530707140368627,0.034807519834357294,-0.061087,3.0456,0.048528150066907416
