row_type,model_id,source_file,source_kind,independence_class,body_or_metric,region,side,mass_or_value,com_xyz_m,principal_inertia_kg_m2,full_ixx_kg_m2,full_iyy_kg_m2,full_izz_kg_m2,full_ixy_kg_m2,full_ixz_kg_m2,full_iyz_kg_m2,mass_delta_vs_current_kg,com_norm_delta_vs_current_m,max_full_inertia_delta_vs_current_kg_m2,hardware_evidence_level
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,head_pitch_link,head,center,0.999287,0.003033 -6e-05 0.004395,0.00259841 0.00298179 0.0035988,0.00291299835862,0.00359800388071,0.00266799776068,1.69998961051e-05,0.000147000133694,-2.20009862754e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,head_yaw_link,head,center,0.720047,-0.003139 0.001399 0.051838,0.00110213 0.00323157 0.0038613,0.00386100285132,0.003230995323,0.00110300182568,9.00008676547e-06,-2.10010444276e-05,-3.89998610748e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_ankle_pitch_link,lower_limb,left,0.747802,0.011691 -0.000181 0.003548,0.000709871 0.000984841 0.00117429,0.000984999674146,0.00116200206235,0.000722000263505,8.00018587514e-06,-1.10000695324e-05,-7.30003271989e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_ankle_roll_link,lower_limb,left,1.01617,0.035428 2.5e-05 -0.049572,0.0025949 0.0068711 0.007937,0.00370000192016,0.00793699641907,0.00576600166077,1.99851773403e-06,-0.00187200143088,-9.9997930933e-07,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_elbow_link,arm,left,0.688008,-0.013174 0.003788 -0.080203,0.000446844 0.00531735 0.0054008,0.00526999647965,0.00533199758413,0.000562999936223,-1.89993042488e-05,0.000742999789713,-9.39995740281e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_hip_pitch_link,lower_limb,left,1.39968,0.00791 0.064136 0.000116,0.00155421 0.007409 0.00807979,0.00799499897879,0.0016390011706,0.00740899985061,0.000738999956471,7.1872381128e-12,1.00061200984e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_hip_roll_link,lower_limb,left,1.5848,4.7e-05 0.000231 -0.093505,0.00251468 0.0176713 0.0181021,0.0176710480293,0.0181020335128,0.00251499845782,-4.00017855619e-06,-6.59947323715e-05,-2.19999095261e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_hip_yaw_link,lower_limb,left,2.01055,-0.002375 0.003914 -0.144276,0.0023845 0.0519961 0.0526993,0.0519739514295,0.0526389510051,0.00246699756541,-7.09998924721e-05,0.00141899911668,-0.00145299860539,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_knee_link,lower_limb,left,1.56821,-0.002655 0.003681 -0.122697,0.00193262 0.0309424 0.031041,0.030979006691,0.0309950103046,0.00194200300439,-4.50076756597e-05,0.000170000430018,-0.000494000069535,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_shoulder_pitch_link,arm,left,0.885896,0.003007 0.050014 6.2e-05,0.000676999 0.00292896 0.00303104,0.00302300274192,0.000684999989065,0.00292899626902,0.000137000174026,-2.00020215285e-06,1.00140829385e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,x2_limits_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra_x2_limits.xml,MJCF_COMPILED,DERIVED_LIMIT_VARIANT_NOT_INDEPENDENT_PHYSICAL_SOURCE,left_shoulder_roll_link,arm,left,0.706556,0.000621 -0.000183 -0.078842,0.000539037 0.00540092 0.00549904,0.00539999687731,0.00549900011182,0.000540000010868,1.00413796567e-10,-6.7000510064e-05,1.40000385002e-05,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
