sim_time,t,side,signed_geom_distance_m,contact_active,contact_dist_m
0.001,-4.999,left,0.0033606102022932663,0,
0.001,-4.999,right,0.003569589272430114,0,
0.02000000000000001,-4.98,left,0.0035386385729640926,0,
0.02000000000000001,-4.98,right,0.003409207950980066,0,
0.04000000000000003,-4.96,left,0.0036406201361070525,0,
0.04000000000000003,-4.96,right,0.003303181197017958,0,
0.060000000000000046,-4.94,left,0.0,0,
0.060000000000000046,-4.94,right,0.0032946749248467517,0,
0.08000000000000006,-4.92,left,0.0036733665108866233,0,
0.08000000000000006,-4.92,right,0.003253268015520269,0,
0.10000000000000007,-4.9,left,0.0,0,
0.10000000000000007,-4.9,right,0.003150412235676187,0,
0.12000000000000009,-4.88,left,0.0038217832968399632,0,
0.12000000000000009,-4.88,right,0.00309991101243816,0,
0.1400000000000001,-4.86,left,0.0,0,
0.1400000000000001,-4.86,right,0.0030791170243960908,0,
0.16000000000000011,-4.84,left,0.0038577521926965773,0,
0.16000000000000011,-4.84,right,0.0030682651222570917,0,
0.18000000000000013,-4.82,left,0.0038680651265721386,0,
0.18000000000000013,-4.82,right,0.003060782779776347,0,
0.20000000000000015,-4.8,left,0.0038773336682101883,0,
0.20000000000000015,-4.8,right,0.0030543466344888546,0,
0.22000000000000017,-4.78,left,0.0038861207400800587,0,
0.22000000000000017,-4.78,right,0.003048307783135852,0,
0.24000000000000019,-4.76,left,0.0,0,
0.24000000000000019,-4.76,right,0.0030436322895457317,0,
0.2600000000000002,-4.74,left,0.003898992344036685,0,
0.2600000000000002,-4.74,right,0.0,0,
0.2800000000000002,-4.72,left,0.0039029233699765698,0,
0.2800000000000002,-4.72,right,0.0030390978214024952,0,
0.3000000000000002,-4.7,left,0.003905987385795644,0,
0.3000000000000002,-4.7,right,0.0030382537792235965,0,
0.32000000000000023,-4.68,left,0.0,0,
0.32000000000000023,-4.68,right,0.0030375863017109116,0,
0.34000000000000025,-4.66,left,0.003911295222376563,0,
0.34000000000000025,-4.66,right,0.0030369843746117335,0,
0.36000000000000026,-4.64,left,0.003913696057000467,0,
0.36000000000000026,-4.64,right,0.0030364499838590586,0,
0.3800000000000003,-4.62,left,0.003915939963820727,0,
0.3800000000000003,-4.62,right,0.0,0,
0.4000000000000003,-4.6,left,0.003918057878713995,0,
0.4000000000000003,-4.6,right,0.0030355871856637155,0,
0.4200000000000003,-4.58,left,0.003920079449247809,0,
0.4200000000000003,-4.58,right,0.003035222712390621,0,
0.44000000000000034,-4.56,left,0.003922030407855928,0,
0.44000000000000034,-4.56,right,0.0030348810473703565,0,
0.46000000000000035,-4.54,left,0.0039239326377864805,0,
0.46000000000000035,-4.54,right,0.0,0,
0.48000000000000037,-4.52,left,0.003925804501628476,0,
0.48000000000000037,-4.52,right,0.0030342162681883437,0,
0.5000000000000003,-4.5,left,0.003927661260146655,0,
0.5000000000000003,-4.5,right,0.003033874081295061,0,
0.5200000000000004,-4.4799999999999995,left,0.003929515517292371,0,
0.5200000000000004,-4.4799999999999995,right,0.0030335158347935256,0,
0.5400000000000004,-4.46,left,0.003931377646046833,0,
0.5400000000000004,-4.46,right,0.00303313620077961,0,
0.5600000000000004,-4.4399999999999995,left,0.003933256169796928,0,
0.5600000000000004,-4.4399999999999995,right,0.0030327309072616503,0,
0.5800000000000004,-4.42,left,0.003935158088221197,0,
0.5800000000000004,-4.42,right,0.0,0,
0.6000000000000004,-4.3999999999999995,left,0.003937089145687412,0,
0.6000000000000004,-4.3999999999999995,right,0.003031830077766534,0,
0.6200000000000004,-4.38,left,0.0039390540459920435,0,
0.6200000000000004,-4.38,right,0.0030313293216932295,0,
0.6400000000000005,-4.359999999999999,left,0.003941056620781162,0,
0.6400000000000005,-4.359999999999999,right,0.0030307922537531114,0,
0.6600000000000005,-4.34,left,0.003943099988330025,0,
0.6600000000000005,-4.34,right,0.0030302172691739474,0,
0.6800000000000005,-4.319999999999999,left,0.003945187591315707,0,
0.6800000000000005,-4.319999999999999,right,0.003029603287096331,0,
0.7000000000000005,-4.3,left,0.00394732222788157,0,
0.7000000000000005,-4.3,right,0.0030289492951932487,0,
0.7200000000000005,-4.279999999999999,left,0.003949504817354348,0,
