body,mass_kg,inertia,inertial_pos,body_pos,flags
pelvis,5.031810659272607,"[0.013855276755432468, 0.013244213751023456, 0.01076214023708627]","[-0.001526673215738653, 0.00012932923078004942, 0.0028983587565822306]","[0.0, 0.0, 0.68]",[]
left_hip_pitch_link,1.39968,"[0.00807979, 0.007409, 0.00155421]","[0.00791, 0.064136, 0.000116]","[0.0, 0.07135, 0.0]",[]
left_hip_roll_link,1.5848,"[0.0181021, 0.0176713, 0.00251468]","[4.7e-05, 0.000231, -0.093505]","[-0.000575, 0.0657, 0.0]",[]
left_hip_yaw_link,2.01055,"[0.0526993, 0.0519961, 0.0023845]","[-0.002375, 0.003914, -0.144276]","[0.000575, 0.0, -0.13685]",[]
left_knee_link,1.56821,"[0.031041, 0.0309424, 0.00193262]","[-0.002655, 0.003681, -0.122697]","[-0.00766, 0.000225, -0.1831]",[]
left_ankle_pitch_link,0.747802,"[0.00117429, 0.000984841, 0.000709871]","[0.011691, -0.000181, 0.003548]","[-0.01, -0.000124911, -0.282]",[]
left_ankle_roll_link,1.01617,"[0.007937, 0.0068711, 0.0025949]","[0.035428, 2.5e-05, -0.049572]","[-0.00175, 0.0, 0.0]",[]
right_hip_pitch_link,1.40023,"[0.00808102, 0.007409, 0.00155498]","[0.007909, -0.064114, 0.000131]","[0.0, -0.07135, 0.0]",[]
right_hip_roll_link,1.58508,"[0.0181161, 0.017694, 0.00251594]","[-0.000586, -0.000228, -0.093568]","[0.0, -0.0657, 0.0]",[]
right_hip_yaw_link,2.00262,"[0.0525579, 0.0518558, 0.0023773]","[-0.002444, -0.003935, -0.144335]","[0.0, 0.0, -0.13685]",[]
right_knee_link,1.56588,"[0.0308703, 0.0307718, 0.00192491]","[-0.002699, -0.003794, -0.122288]","[-0.00766, -0.000225, -0.1831]",[]
right_ankle_pitch_link,0.749566,"[0.00122381, 0.00103716, 0.000713034]","[0.011665, 0.000937, 0.00394]","[-0.01, 0.000124911, -0.282]",[]
right_ankle_roll_link,1.01617,"[0.007937, 0.0068711, 0.0025949]","[0.035428, 2.5e-05, -0.049572]","[-0.00175, 0.0, 0.0]",[]
waist_yaw_link,1.66854,"[0.00503206, 0.00499998, 0.00283196]","[-0.001359, 4.7e-05, 0.041703]","[0.0, 0.0, 0.06706]",[]
waist_pitch_link,0.392413,"[0.00023, 0.000133, 0.000133]","[0.008967, -1e-06, 0.0]","[0.0, 0.0, 0.0880106]",[]
torso_link,10.1441,"[0.479863, 0.455999, 0.0666413]","[-0.000188, 0.000605, 0.191827]","[0.0, 0.0, 0.0]",[]
left_shoulder_pitch_link,0.885896,"[0.00303104, 0.00292896, 0.000676999]","[0.003007, 0.050014, 6.2e-05]","[0.00329907, 0.143032, 0.241648]",[]
left_shoulder_roll_link,0.706556,"[0.00549904, 0.00540092, 0.000539037]","[0.000621, -0.000183, -0.078842]","[-0.000499991, 0.0495, 0.0]",[]
left_shoulder_yaw_link,0.704662,"[0.00438693, 0.00436694, 0.00044713]","[0.010005, 0.000179, -0.069477]","[0.00122424, 0.0, -0.121195]",[]
left_elbow_link,0.688008,"[0.0054008, 0.00531735, 0.000446844]","[-0.013174, 0.003788, -0.080203]","[0.014, 0.000199986, -0.08295]",[]
left_wrist_yaw_link,0.360708,"[0.000612057, 0.000527003, 0.00018794]","[7.6e-05, 0.007263, -0.030679]","[-0.0132797, -9.75488e-05, -0.120576]",[]
left_wrist_pitch_link,0.292062,"[0.000178433, 0.000138482, 9.10855e-05]","[0.011479, 0.002282, 0.001703]","[0.000490001, 0.0, -0.0819985]",[]
left_wrist_roll_link,0.30304,"[0.00278114, 0.00266331, 0.000205545]","[0.002935, -0.001499, -0.083026]","[0.0, 0.0, 0.0]",[]
right_shoulder_pitch_link,0.885544,"[0.00303743, 0.00294899, 0.00067458]","[0.002721, -0.050304, 3.4e-05]","[0.00330094, -0.143031, 0.241648]",[]
right_shoulder_roll_link,0.696963,"[0.00548904, 0.0054003, 0.000529664]","[0.000598, 0.000185, -0.079928]","[-0.0005, -0.0495, 0.0]",[]
right_shoulder_yaw_link,0.704661,"[0.00438849, 0.00436595, 0.000445562]","[0.010082, -0.000178, -0.069484]","[0.0005, 0.0, -0.1212]",[]
right_elbow_link,0.687932,"[0.00542019, 0.00534355, 0.000444255]","[-0.013517, -0.003463, -0.080438]","[0.014, -0.0002, -0.08295]",[]
right_wrist_yaw_link,0.372787,"[0.00069604, 0.000598539, 0.000202421]","[0.000153, -0.006979, -0.032069]","[-0.014, 9.75261e-05, -0.120694]",[]
right_wrist_pitch_link,0.279175,"[0.000171965, 0.00013308, 8.19541e-05]","[0.012092, -0.002544, 0.001781]","[0.0, 0.0, -0.0818]",[]
right_wrist_roll_link,0.303847,"[0.002781, 0.00266288, 0.000206121]","[0.003056, 0.00138, -0.082799]","[0.0, 0.0, 0.0]",[]
head_yaw_link,0.720047,"[0.0038613, 0.00323157, 0.00110213]","[-0.003139, 0.001399, 0.051838]","[0.00834773, 0.0, 0.309397]",[]
head_pitch_link,0.999287,"[0.0035988, 0.00298179, 0.00259841]","[0.003033, -6e-05, 0.004395]","[0.0, 0.0, 0.0889]",[]
