sim_time,t,base_x,base_y,base_z,base_roll_rad,base_pitch_rad,base_yaw_rad,com_x,com_y,com_z,raw_pitch_feedback_nm,applied_pitch_feedback_nm,raw_roll_feedback_nm,applied_roll_feedback_nm,self_collision_contact_count,nonfoot_ground_contact_count,left_foot_contact,right_foot_contact,max_contact_penetration_m,left_pelvis_hip_distance_m,right_pelvis_hip_distance_m,left_foot_slip_proxy_m,right_foot_slip_proxy_m
0.001,-4.999,0.0,0.0,0.6636883990384522,0.0,-0.0,0.0,0.014289678232506067,-0.00023491882644464265,0.7027931478407976,0.0,0.0,-0.0,-0.0,0,0,0,0,0.0,0.0015233686278937277,0.0,0.0,0.0
0.02000000000000001,-4.98,4.528006272479347e-05,-0.0001507553039056416,0.6623467850662998,-0.0024283850927143734,0.00023151338096334852,0.0006484403933665425,0.0143740498025039,-0.00020527229991043074,0.7013911699750048,0.12107477552537271,0.12107477552537271,3.7378103524522412,3.7378103524522412,0,0,0,1,0.0004725889145182861,0.0016411952401106128,0.0019009203259916538,0.0008508906324723052,0.0007632725748934596
0.04000000000000003,-4.96,0.0004349601011383939,-0.0004900967494964795,0.6589919165552427,-0.009444404335499274,-0.0009120573349050913,0.004182026588455071,0.014816630724446432,-7.521574695883474e-06,0.6980223827089285,-3.7603437834928672,-3.7603437834928672,4.293365784948266,4.293365784948266,0,0,1,1,0.001611080348558387,0.0019100633581403757,0.0015003102292271019,0.0027361905547017462,0.002292283644782786
0.060000000000000046,-4.94,0.001834502248966636,-0.00015173029466538079,0.6561952410388886,-0.011051368830711948,-0.006172488151671383,0.007139753493603613,0.015914978480189336,0.0005131749844897969,0.6953443991992607,-6.8233156278349805,-6.8233156278349805,0.6352778874466187,0.6352778874466187,0,0,1,1,0.0021465173676980904,0.0018932637643955957,0.0014121728424861004,0.0047332418223653165,0.004059078730871234
0.08000000000000006,-4.92,0.004064501822488266,0.0005423570766016613,0.6543946852995963,-0.010757392298692813,-0.011237542389812364,0.008773188909884879,0.01737348401058124,0.0011856426304663102,0.693630549843996,-6.131620037100202,-6.131620037100202,0.9226463385131227,0.9226463385131227,0,0,1,1,0.0014934615502815675,0.0018011371283580223,0.001444678844008026,0.006293556733591941,0.005377459920586514
0.10000000000000007,-4.9,0.00654631439794172,0.001244314088102335,0.6534132774245088,-0.012125282392088465,-0.01447456430426403,0.009291789039276441,0.01894084581002891,0.0019298854404785192,0.6926852693744531,-4.318211381943662,-4.318211381943662,2.220337518307485,2.220337518307485,0,0,1,1,0.0009142080523952085,0.0018061918309166044,0.0,0.0074527979885475595,0.00574566496031745
0.12000000000000009,-4.88,0.008904630444397078,0.0020138652418191325,0.6529434215201279,-0.014191022941916794,-0.015802413797474886,0.009259316052278853,0.020483616527462552,0.002782144676181819,0.6922023073415029,-2.93808521245564,-2.93808521245564,2.403238532135112,2.403238532135112,0,0,1,1,0.0005925789552720341,0.0018440589859518583,0.001372315748755959,0.008277818181447126,0.00573772540107763
0.1400000000000001,-4.86,0.011022351615563726,0.0029467433855319054,0.652724877720231,-0.015611571286478462,-0.01589737928833372,0.009329160193055677,0.021969028589432647,0.0037397101166845373,0.6919559786822514,-1.771470436936182,-1.771470436936182,1.6213281615142745,1.6213281615142745,0,0,1,1,0.0004418559132516693,0.0018324663994726755,0.0013786001494154368,0.008662027479382538,0.0057011134874082325
0.16000000000000011,-4.84,0.012799815431865787,0.004017672704730011,0.6527080863810069,-0.016069042879380525,-0.015001872255771785,0.00965687225932142,0.0233369123512286,0.0047499526812022665,0.6919057329667669,-0.8195271318726909,-0.8195271318726909,1.3394990161330993,1.3394990161330993,0,0,1,1,0.00040843969687836667,0.001757578248595526,0.001450264371959722,0.00870024175264743,0.00568635532838088
0.18000000000000013,-4.82,0.014278016492479794,0.005131897441950422,0.6527491423269984,-0.016365568757255283,-0.013526801282394306,0.010024158601380558,0.02461019836795928,0.005783596288674912,0.6919147257135596,-0.17783572759961097,-0.17783572759961097,1.3559129564009371,1.3559129564009371,0,0,1,1,0.0003474850345816889,0.001670619852857091,0.0015346949158767105,0.008688146532090305,0.005683770294776233
0.20000000000000015,-4.8,0.015535158452139916,0.006265883116035123,0.6527970512371786,-0.016697783611808226,-0.01177175911266582,0.01034135688590513,0.025814827050005696,0.006833304782484024,0.6919356716383742,0.22463990243189969,0.22463990243189969,1.409256429945645,1.409256429945645,0,0,1,1,0.00031299563997831247,0.0015844545671220517,0.00161886442222397,0.008678892095053608,0.005684977225822329
0.22000000000000017,-4.78,0.016645441238073405,0.007416573934559595,0.6528456766897951,-0.01705996860917831,-0.009919130671634519,0.01055952281980922,0.026970920815923564,0.007895768051038081,0.6919608640561458,0.6596235537406792,0.6596235537406792,1.4596879900558335,1.4596879900558335,0,0,1,1,0.00030637623878440167,0.0014997302470702498,0.00170212825658794,0.008675388815686526,0.005687033829226128
0.24000000000000019,-4.76,0.017646556550254405,0.008578146335216679,0.6528966350451363,-0.017479965360320107,-0.007802393961128463,0.010697262633633874,0.028091937341799694,0.008967956770777713,0.6919903361680285,1.1945091089867472,1.1945091089867472,1.5364673634061203,1.5364673634061203,0,0,1,1,0.0003084904932055916,0.001417967148017397,0.0017827105445119144,0.008676446405611403,0.005689833052791912
0.2600000000000002,-4.74,0.018566170718074388,0.009748325103510492,0.6529484251546287,-0.01795417076444944,-0.00557327166614061,0.010773482737708374,0.029185366421285563,0.010047887525745586,0.6920222394822487,1.5740563168737052,1.5740563168737052,1.6007406226034695,1.6007406226034695,0,0,1,1,0.0003109169217050912,0.0,0.0018607001344008607,0.008680601121882764,0.005693122391372411
0.2800000000000002,-4.72,0.01941744336225212,0.010924990253691503,0.6529995774290354,-0.018467287251788138,-0.0032835985024335804,0.010815422046241505,0.03025555990854609,0.011132992905976543,0.6920549410388942,1.9553902552576419,1.9553902552576419,1.6610915417449865,1.6610915417449865,0,0,1,1,0.000313200224388961,0.0012614225689527069,0.0019368951182367105,0.00868611604433665,0.005696625224279396
0.3000000000000002,-4.7,0.020214624906011468,0.012104937155490365,0.6530499435730719,-0.019008176431850623,-0.0009479593566710944,0.01084298760460885,0.03130588776384822,0.012220067346554907,0.6920876340275607,2.309819043120347,2.309819043120347,1.7134106736110994,1.7134106736110994,0,0,1,1,0.0003186105713887761,0.0011850352779871546,0.002011703028461363,0.008692328253364084,0.0057002118919957465
