sim_time,t,side,signed_geom_distance_m,segment_x1,segment_y1,segment_z1,segment_x2,segment_y2,segment_z2,contact_active,pair_contact_count,contact_dist_m,contact_pos_x,contact_pos_y,contact_pos_z,contact_normal_x,contact_normal_y,contact_normal_z
0.001,-2.999,left,0.0033606102022932663,0.013920089887015987,0.0858809872540682,0.6158494774155407,0.013993684947344516,0.08923245621213394,0.615612959927869,0,0,,,,,,,
0.001,-2.999,right,0.003569589272430114,0.012917888927804617,-0.08588098673693537,0.6155757899546841,0.012980850796853537,-0.0894418969581742,0.6153351205275213,0,0,,,,,,,
0.02000000000000001,-2.98,left,0.0034856983280465064,0.01391446776202597,0.0856162680403463,0.6143159109725423,0.013986303012852704,0.0890925193116116,0.6140697207413973,0,0,,,,,,,
0.02000000000000001,-2.98,right,0.0034383010397098057,0.012980772044649968,-0.08614623713659608,0.614474178225122,0.013045155021309535,-0.08957612370413887,0.6142425599923,0,0,,,,,,,
0.04000000000000003,-2.96,left,0.003526326755239,0.01454494945204989,0.08548742875628627,0.6118313749099636,0.01461372851363276,0.08900405960785635,0.611579269219453,0,0,,,,,,,
0.04000000000000003,-2.96,right,0.0,0.016914439766295534,-0.10569751502210642,0.7501124310262642,0.022773467676518507,-0.11063039530172784,0.7638224331706523,0,0,,,,,,,
0.060000000000000046,-2.94,left,0.003479149672015714,0.0162320161937477,0.08557954169501977,0.6099873907152973,0.01630069564828454,0.08904901955699056,0.6097374128400638,0,0,,,,,,,
0.060000000000000046,-2.94,right,0.0,0.019073199388217724,-0.10563130486460914,0.7480889022636206,0.024888930405419604,-0.11059577240857985,0.7618456499025525,0,0,,,,,,,
0.08000000000000006,-2.92,left,0.0034617441029985946,0.018489099749368382,0.08559633258397037,0.6085561319419612,0.018558178393566837,0.08904839346986064,0.6083067807525362,0,0,,,,,,,
0.08000000000000006,-2.92,right,0.003394800151785921,0.01783768252738547,-0.08616717726814432,0.608913006934628,0.017909941744180164,-0.08955363177314289,0.6086863517742436,0,0,,,,,,,
0.10000000000000007,-2.9,left,0.003542518929656402,0.020864228062160733,0.08542877693876708,0.607617851095443,0.020935575835055446,0.08896135379138474,0.607362409042079,0,0,,,,,,,
0.10000000000000007,-2.9,right,0.003303686112446987,0.02010835198619565,-0.08633353032288787,0.6082451280563075,0.020178162169266017,-0.08962907909633461,0.6080241602990476,0,0,,,,,,,
0.12000000000000009,-2.88,left,0.0035864000171522783,0.02291060855822511,0.08542236697972248,0.6073031844649805,0.022983283117071707,0.08899864857090796,0.6070439674283603,0,0,,,,,,,
0.12000000000000009,-2.88,right,0.003256356517264674,0.02207479800628327,-0.08633889369184605,0.6080942433185219,0.02214237791350617,-0.08958726126152032,0.607876530535341,0,0,,,,,,,
0.1400000000000001,-2.86,left,0.003586406143021897,0.024522114343753766,0.0855504955649269,0.6073075165315319,0.02459486938182611,0.08912671788459474,0.6070474210731904,0,0,,,,,,,
0.1400000000000001,-2.86,right,0.003257026737967987,0.023656891165954055,-0.08621045666987351,0.6081331660468802,0.023723277457430535,-0.08945955117069422,0.6079159082348711,0,0,,,,,,,
0.16000000000000011,-2.84,left,0.003576352865782614,0.025804920251403914,0.0857090528190347,0.6073615706084997,0.025877430577831984,0.08927518213825507,0.6071012558917631,0,0,,,,,,,
0.16000000000000011,-2.84,right,0.0032684870995674533,0.024926246532352724,-0.08605179912218806,0.6081938528898152,0.02499182392236168,-0.0893123895757843,0.6079764651719572,0,0,,,,,,,
0.18000000000000013,-2.82,left,0.003566562010607356,0.02686159144665088,0.08587063894944497,0.6073993790557628,0.026933867420136412,0.08942693602474154,0.6071388183691628,0,0,,,,,,,
0.18000000000000013,-2.82,right,0.0,0.0404223629350898,-0.1336777518145209,0.9466548895628666,0.04626652525111856,-0.13713316091002684,0.9233992919077056,0,0,,,,,,,
0.20000000000000015,-2.8,left,0.0035579419995217607,0.027758146915019363,0.08603239720795772,0.6074209849196852,0.02783025633941437,0.08958002801457911,0.6071600880764978,0,0,,,,,,,
0.20000000000000015,-2.8,right,0.0,0.04179716193437937,-0.13341708992725668,0.9466495804418772,0.04757908324031942,-0.13689447744490474,0.923376962946989,0,0,,,,,,,
0.22000000000000017,-2.78,left,0.003549147031666724,0.028551002432177806,0.08619646302795388,0.607440888427893,0.02862302512669404,0.0897352509438005,0.6071796653995796,0,0,,,,,,,
0.22000000000000017,-2.78,right,0.003299725475265197,0.02763572420920489,-0.08556400432143069,0.6083121763083253,0.027699275425838162,-0.08885595561383587,0.6080949065602923,0,0,,,,,,,
0.24000000000000019,-2.76,left,0.0035393468438852937,0.029276086770854255,0.08636243227558194,0.607467688566576,0.029348058024061152,0.08989137377018085,0.6072062155321525,0,0,,,,,,,
